2023-11-19 14:03:01.862  INFO 88736 --- [main] r.w.r.RestfulWebServicesApplicationTests : Starting RestfulWebServicesApplicationTests on MacBook-Air-de-Agyla-5.local with PID 88736 (started by agyla in /Users/agyla/Desktop/deploy-spring-microservices-to-aws-ecs-fargate/01-hello-world-rest-api)
2023-11-19 14:03:01.863  INFO 88736 --- [main] r.w.r.RestfulWebServicesApplicationTests : No active profile set, falling back to default profiles: default
2023-11-19 14:03:02.402  INFO 88736 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2023-11-19 14:03:02.495  INFO 88736 --- [main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService 'taskScheduler'
2023-11-19 14:03:02.510  INFO 88736 --- [scheduling-1] c.i.r.w.r.RestfulWebServicesApplication  : Logging a message every 30 seconds
2023-11-19 14:03:02.511  INFO 88736 --- [main] r.w.r.RestfulWebServicesApplicationTests : Started RestfulWebServicesApplicationTests in 0.968 seconds (JVM running for 1.313)
2023-11-19 14:03:02.633  INFO 88736 --- [Thread-2] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2023-11-19 14:03:02.633  INFO 88736 --- [Thread-2] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2023-11-19 14:03:23.965  INFO 88781 --- [main] c.i.r.w.r.RestfulWebServicesApplication  : Starting RestfulWebServicesApplication v1.0.0-RELEASE on MacBook-Air-de-Agyla-5.local with PID 88781 (/Users/agyla/Desktop/deploy-spring-microservices-to-aws-ecs-fargate/01-hello-world-rest-api/target/01-aws-hello-world-rest-api-1.0.0-RELEASE.jar started by agyla in /Users/agyla/Desktop/deploy-spring-microservices-to-aws-ecs-fargate/01-hello-world-rest-api)
2023-11-19 14:03:23.967  INFO 88781 --- [main] c.i.r.w.r.RestfulWebServicesApplication  : No active profile set, falling back to default profiles: default
2023-11-19 14:03:24.527  INFO 88781 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 80 (http)
2023-11-19 14:03:24.537  INFO 88781 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
